SP500,AAPL,AMZN,FB,GOOG,MSFT
2353.0801,143.76,898.93,141.65,832.09,65.51
2353.1399,143.85,898.49,141.69,832.19,65.52
2352.9099,143.81,898.0,141.63,832.3,65.52
2353.1101,143.805,897.62,141.68,832.57,65.52
2352.5601,143.9,898.09,141.73,832.83,65.56
2352.6799,143.9301,898.07,141.6734,833.0,65.57
2352.3799,143.9225,897.63,141.65,833.0201,65.585
2353.1399,143.92,897.1610000000001,141.66,832.94,65.53
2354.3899,144.0799,897.22,141.72,833.5,65.55
2355.3899,144.14,897.709,141.8189,834.04,65.6
2355.3701,144.17,898.42,141.8664,834.39,65.62
2355.8401,144.105,897.961,141.865,834.32,65.62
2355.23,144.0699,898.04,141.825,834.2713,65.62
2355.3799,144.0501,897.9755,141.7401,833.76,65.61
2355.4099,144.1,898.3726,141.74,833.95,65.61
2355.3999,144.1,898.4999,141.715,833.95,65.615
2355.3799,144.135,898.52,141.67,833.8783,65.61
2354.6899,144.205,898.34,141.68,833.63,65.615
2354.74,144.18,897.836,141.6499,833.48,65.565
2354.21,144.18,897.8686,141.67,833.36,65.58
2354.8899,144.155,897.64,141.55,833.1055,65.55
2355.4399,144.2,897.74,141.62,833.11,65.59
2353.95,144.1825,898.31,141.58,832.9,65.6
2353.45,144.13,897.415,141.5192,832.24,65.56
2353.9099,144.0949,897.98,141.5,832.42,65.55
2353.3999,144.1587,897.88,141.4787,832.2903,65.55
2353.6599,144.12,898.07,141.48,832.65,65.52
2352.72,144.135,898.195,141.47,832.8172,65.525
2353.8,144.0516,897.58,141.32,832.25,65.5
2352.78,144.11,897.77,141.41,832.485,65.5201
2353.03,144.0397,896.72,141.35,832.2,65.495
2353.0901,144.0262,897.1835,141.365,832.3,65.485
2352.9299,144.01,897.29,141.3001,832.1956,65.47
2352.96,143.93,897.43,141.32,832.27,65.46
2353.6399,143.96,898.0,141.35,832.26,65.47
2353.8799,143.99,898.16,141.37,832.4999,65.495
2353.99,144.0407,898.24,141.38,832.63,65.51
2353.6001,144.0752,898.55,141.37,832.37,65.53
2353.8301,144.03,898.07,141.32,832.2909,65.51
2353.8999,144.07,897.918,141.345,832.21,65.52
2354.0,144.04,898.12,141.33,832.39,65.515
2354.3999,144.08,898.135,141.3,832.37,65.515
2355.3301,144.1058,898.515,141.43,833.08,65.545
2355.0901,144.2,898.66,141.49,832.63,65.585
2354.6699,144.19,898.6503,141.47,833.3999,65.58
2355.3,144.19,898.545,141.47,833.19,65.58
2356.29,144.1817,898.6,141.49,833.39,65.59
2356.8701,144.18,898.55,141.56799999999998,834.0,65.61
2356.3,144.31,898.63,141.5902,833.81,65.65
2356.3999,144.26,898.44,141.555,833.73,65.623
2355.9099,144.2907,898.465,141.56,834.09,65.64
2356.2,144.29,898.39,141.54,833.99,65.63
2355.73,144.32,898.69,141.5856,834.0071,65.64
2355.8701,144.27,898.555,141.535,833.81,65.63
2356.48,144.33,898.72,141.55100000000002,833.86,65.635
2356.4099,144.37,898.9999,141.61,834.4,65.655
2356.5701,144.37,898.8698,141.67,834.06,65.655
2357.1899,144.385,899.495,141.6798,834.06,65.68
2357.47,144.41,899.71,141.62,834.03,65.66199999999999
2357.6699,144.4,899.53,141.615,834.28,65.6686
2358.02,144.43,899.7,141.61,834.29,65.67
2357.8899,144.43,900.26,141.63,834.575,65.695
2358.3201,144.42,900.05,141.595,834.72,65.665
2358.96,144.45,900.96,141.6,834.625,65.7
2358.1101,144.46,900.51,141.6366,834.74,65.7066
2357.98,144.4,900.27,141.5599,834.45,65.67
2357.8401,144.42,900.02,141.57,834.1,65.68
